"Frame Transformation Calculation"
"Calculation Inputs"
"Calculation type","Frame Transformation (from Frame 1 to Frame 2)"
"Frame 1","MOON_ME_DE421"
"Frame 2","J2000"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:08:10.000 to 2024-12-14T20:14:10.000"
"Time sampling","1 seconds in TDT (a.k.a. TT)"
"Light propagation","No correction"
"Orientation form","Euler angles"
"Rotation order","R = [Angle3]z * [Angle2]x * [Angle1]z"
"Angular units","Degrees"
"Angular velocity form","Not included"
"Frame Transformation Results"
"UTC calendar date","Angle 3 (deg)","Angle 2 (deg)","Angle 1 (deg)"
"2024-12-14 20:11:24.000000 UTC",-179.89456941,21.90335270,-72.24071001
"2024-12-14 20:11:25.000000 UTC",-179.89456952,21.90335265,-72.24086241
"2024-12-14 20:11:26.000000 UTC",-179.89456963,21.90335260,-72.24101481
"2024-12-14 20:11:27.000000 UTC",-179.89456974,21.90335255,-72.24116721
"2024-12-14 20:11:28.000000 UTC",-179.89456985,21.90335250,-72.24131961
"2024-12-14 20:11:29.000000 UTC",-179.89456996,21.90335245,-72.24147200
"2024-12-14 20:11:30.000000 UTC",-179.89457007,21.90335240,-72.24162440
"2024-12-14 20:11:31.000000 UTC",-179.89457018,21.90335235,-72.24177680
"2024-12-14 20:11:32.000000 UTC",-179.89457029,21.90335230,-72.24192920
"2024-12-14 20:11:33.000000 UTC",-179.89457040,21.90335225,-72.24208159
"2024-12-14 20:11:34.000000 UTC",-179.89457051,21.90335220,-72.24223399
"2024-12-14 20:11:35.000000 UTC",-179.89457063,21.90335214,-72.24238639
"2024-12-14 20:11:36.000000 UTC",-179.89457074,21.90335209,-72.24253879
"2024-12-14 20:11:37.000000 UTC",-179.89457085,21.90335204,-72.24269118
"2024-12-14 20:11:38.000000 UTC",-179.89457096,21.90335199,-72.24284358
"2024-12-14 20:11:39.000000 UTC",-179.89457107,21.90335194,-72.24299598
"2024-12-14 20:11:40.000000 UTC",-179.89457118,21.90335189,-72.24314838
"2024-12-14 20:11:41.000000 UTC",-179.89457129,21.90335184,-72.24330077
"2024-12-14 20:11:42.000000 UTC",-179.89457140,21.90335179,-72.24345317
"2024-12-14 20:11:43.000000 UTC",-179.89457151,21.90335174,-72.24360557
"2024-12-14 20:11:44.000000 UTC",-179.89457162,21.90335169,-72.24375797
"2024-12-14 20:11:45.000000 UTC",-179.89457173,21.90335163,-72.24391036
"2024-12-14 20:11:46.000000 UTC",-179.89457184,21.90335158,-72.24406276
"2024-12-14 20:11:47.000000 UTC",-179.89457195,21.90335153,-72.24421516
"2024-12-14 20:11:48.000000 UTC",-179.89457206,21.90335148,-72.24436756
"2024-12-14 20:11:49.000000 UTC",-179.89457217,21.90335143,-72.24451995
"2024-12-14 20:11:50.000000 UTC",-179.89457228,21.90335138,-72.24467235
"2024-12-14 20:11:51.000000 UTC",-179.89457239,21.90335133,-72.24482475
"2024-12-14 20:11:52.000000 UTC",-179.89457250,21.90335128,-72.24497715
"2024-12-14 20:11:53.000000 UTC",-179.89457261,21.90335123,-72.24512955
"2024-12-14 20:11:54.000000 UTC",-179.89457272,21.90335118,-72.24528194
